2020-08-08,ES,Barcelona,so2,165,0.6,3.6,1.1,4.16
2020-09-04,ES,Barcelona,so2,129,0.6,2.1,1.1,1.44
2020-11-24,ES,Barcelona,so2,113,0.6,24.9,1.1,246.48
2020-04-25,ES,Barcelona,so2,173,0.6,6.1,1.1,4.84
2020-10-23,ES,Barcelona,so2,99,0.6,2.6,1.1,3.67
2020-11-29,ES,Barcelona,so2,59,0.6,12.7,1.6,44.22
2020-02-15,ES,Barcelona,so2,49,0.6,2.6,1.1,2.85
2020-03-06,ES,Barcelona,so2,90,0.6,4.6,1.1,3.80
2020-04-02,ES,Barcelona,so2,107,0.6,5.1,1.1,10.72
2020-08-23,ES,Barcelona,so2,57,0.6,1.1,0.6,0.64
2020-01-14,ES,Barcelona,so2,179,0.6,13.2,1.1,27.32
2020-01-31,ES,Barcelona,so2,188,0.6,13.2,1.6,30.97
2020-04-21,ES,Barcelona,so2,78,0.6,5.1,1.1,13.17
2020-08-03,ES,Barcelona,so2,50,0.6,1.6,1.1,1.17
2020-09-23,ES,Barcelona,so2,126,0.6,5.1,1.1,12.78
2020-01-12,ES,Barcelona,so2,145,0.6,21.3,1.1,99.87
2020-04-03,ES,Barcelona,so2,105,0.6,15.8,1.1,234.30
2020-07-26,ES,Barcelona,so2,43,0.6,1.6,0.6,0.99
2020-09-14,ES,Barcelona,so2,144,0.6,7.1,1.1,9.29
2020-02-23,ES,Barcelona,so2,97,0.6,8.2,1.1,11.02
2020-05-27,ES,Barcelona,so2,109,0.6,2.6,0.6,1.40
2020-12-07,ES,Barcelona,so2,149,0.6,12.2,1.1,34.07
2020-02-20,ES,Barcelona,so2,118,0.6,8.2,1.1,20.27
2020-04-15,ES,Barcelona,so2,90,0.6,14.2,1.1,261.66
2020-05-05,ES,Barcelona,so2,132,0.6,5.1,1.1,5.20
2020-06-12,ES,Barcelona,so2,134,0.6,2.6,1.1,1.77
2020-08-10,ES,Barcelona,so2,167,0.6,3.6,1.1,4.63
2020-09-13,ES,Barcelona,so2,67,0.6,1.6,1.1,1.31
2020-10-27,ES,Barcelona,so2,108,0.6,3.1,1.1,8.68
2020-12-12,ES,Barcelona,so2,122,0.6,12.7,1.1,20.33
2021-01-01,ES,Barcelona,so2,99,0.6,10.7,1.1,35.09
