Date,Country,City,Specie,count,min,max,median,variance
2018-06-08,ES,Madrid,co,41,0.1,0.1,0.1,0.00
2018-06-30,ES,Madrid,co,27,0.1,0.1,0.1,0.00
2018-01-21,ES,Madrid,co,59,0.1,0.1,0.1,0.00
2018-02-05,ES,Madrid,co,45,0.1,0.1,0.1,0.00
2018-03-23,ES,Madrid,co,53,0.1,0.1,0.1,0.00
2018-06-15,ES,Madrid,co,53,0.1,0.1,0.1,0.00
2018-06-21,ES,Madrid,co,51,0.1,0.1,0.1,0.00
2018-05-09,ES,Madrid,co,49,0.1,0.1,0.1,0.00
2018-01-08,ES,Madrid,co,59,0.1,0.1,0.1,0.00
2018-01-11,ES,Madrid,co,37,0.1,0.1,0.1,0.00
2018-02-04,ES,Madrid,co,28,0.1,0.1,0.1,0.00
2018-02-14,ES,Madrid,co,42,0.1,0.1,0.1,0.00
2018-03-29,ES,Madrid,co,20,0.1,0.1,0.1,0.00
2018-04-09,ES,Madrid,co,33,0.1,0.1,0.1,0.00
2018-05-02,ES,Madrid,co,22,0.1,0.1,0.1,0.00
2018-06-03,ES,Madrid,co,52,0.1,0.1,0.1,0.00
2018-01-31,ES,Madrid,co,71,0.1,0.1,0.1,0.00
2018-03-18,ES,Madrid,co,9,0.1,0.1,0.1,0.00
2018-04-18,ES,Madrid,co,53,0.1,0.1,0.1,0.00
2018-06-05,ES,Madrid,co,103,0.1,0.1,0.1,0.00
2018-01-20,ES,Madrid,co,65,0.1,0.1,0.1,0.00
2018-02-08,ES,Madrid,co,53,0.1,0.1,0.1,0.00
2018-02-09,ES,Madrid,co,66,0.1,0.1,0.1,0.00
2018-03-31,ES,Madrid,co,11,0.1,0.1,0.1,0.00
2018-04-29,ES,Madrid,co,18,0.1,0.1,0.1,0.00
2018-05-07,ES,Madrid,co,40,0.1,0.1,0.1,0.00
2018-06-02,ES,Madrid,co,59,0.1,0.1,0.1,0.00
2018-06-25,ES,Madrid,co,42,0.1,0.1,0.1,0.00
2018-06-27,ES,Madrid,co,33,0.1,0.1,0.1,0.00
2018-02-01,ES,Madrid,co,63,0.1,0.1,0.1,0.00
2018-02-06,ES,Madrid,co,45,0.1,0.1,0.1,0.00
2018-03-07,ES,Madrid,co,36,0.1,0.1,0.1,0.00
